country,year,sex,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation,population,age,suicides_no
Albania,1993,male,3.91,Albania1993,,"1,22,80,71,038",437,Boomers,230100,25-34 years,9
Albania,1993,female,3.51,Albania1993,,"1,22,80,71,038",437,Generation X,285300,15-24 years,10
Albania,1993,male,2.85,Albania1993,,"1,22,80,71,038",437,Boomers,350300,35-54 years,10
Albania,1993,female,2.67,Albania1993,,"1,22,80,71,038",437,Boomers,261800,25-34 years,7
Albania,1993,female,2.11,Albania1993,,"1,22,80,71,038",437,Boomers,331200,35-54 years,7
Albania,1993,female,1.18,Albania1993,,"1,22,80,71,038",437,Silent,169500,55-74 years,2
Albania,1993,female,0.29,Albania1993,,"1,22,80,71,038",437,Millenials,340300,5-14 years,1
Albania,1993,male,0.27,Albania1993,,"1,22,80,71,038",437,Millenials,367000,5-14 years,1
Albania,1993,female,0,Albania1993,,"1,22,80,71,038",437,G.I. Generation,39300,75+ years,0
Albania,1994,male,8.13,Albania1994,,"1,98,56,73,798",697,G.I. Generation,24600,75+ years,2
Albania,1994,male,6.42,Albania1994,,"1,98,56,73,798",697,Silent,171400,55-74 years,11
Albania,1994,female,5.01,Albania1994,,"1,98,56,73,798",697,G.I. Generation,39900,75+ years,2
Albania,1994,male,2.59,Albania1994,,"1,98,56,73,798",697,Boomers,231400,25-34 years,6
Albania,1994,male,2.48,Albania1994,,"1,98,56,73,798",697,Boomers,362800,35-54 years,9
Albania,1994,male,2.48,Albania1994,,"1,98,56,73,798",697,Generation X,242200,15-24 years,6
Albania,1994,female,2.12,Albania1994,,"1,98,56,73,798",697,Generation X,282600,15-24 years,6
Albania,1994,female,1.53,Albania1994,,"1,98,56,73,798",697,Boomers,261100,25-34 years,4
Albania,1994,female,0.58,Albania1994,,"1,98,56,73,798",697,Boomers,342500,35-54 years,2
Albania,1994,female,0.57,Albania1994,,"1,98,56,73,798",697,Silent,174600,55-74 years,1
Albania,1994,male,0.27,Albania1994,,"1,98,56,73,798",697,Millenials,371800,5-14 years,1
Albania,1994,female,0,Albania1994,,"1,98,56,73,798",697,Millenials,344400,5-14 years,0
Albania,1995,male,5.58,Albania1995,0.619,"2,42,44,99,009",835,Generation X,232900,25-34 years,13
Albania,1995,male,5.06,Albania1995,0.619,"2,42,44,99,009",835,Silent,178000,55-74 years,9
Albania,1995,female,4.9,Albania1995,0.619,"2,42,44,99,009",835,G.I. Generation,40800,75+ years,2
Albania,1995,female,4.59,Albania1995,0.619,"2,42,44,99,009",835,Generation X,283500,15-24 years,13
Albania,1995,male,4.56,Albania1995,0.619,"2,42,44,99,009",835,Generation X,241200,15-24 years,11
Albania,1995,male,3.98,Albania1995,0.619,"2,42,44,99,009",835,G.I. Generation,25100,75+ years,1
Albania,1995,male,3.72,Albania1995,0.619,"2,42,44,99,009",835,Boomers,375900,35-54 years,14
Albania,1995,female,2.65,Albania1995,0.619,"2,42,44,99,009",835,Generation X,264000,25-34 years,7
Albania,1995,female,2.24,Albania1995,0.619,"2,42,44,99,009",835,Boomers,356400,35-54 years,8
Albania,1995,male,1.59,Albania1995,0.619,"2,42,44,99,009",835,Millenials,376500,5-14 years,6
Albania,1995,female,1.11,Albania1995,0.619,"2,42,44,99,009",835,Silent,180400,55-74 years,2
Albania,1995,female,0.57,Albania1995,0.619,"2,42,44,99,009",835,Millenials,348700,5-14 years,2
Albania,1996,male,7.87,Albania1996,,"3,31,48,98,292",1127,G.I. Generation,25400,75+ years,2
Albania,1996,male,6.98,Albania1996,,"3,31,48,98,292",1127,Generation X,243600,15-24 years,17
Albania,1996,male,5.95,Albania1996,,"3,31,48,98,292",1127,Generation X,235300,25-34 years,14
Albania,1996,female,5.56,Albania1996,,"3,31,48,98,292",1127,Generation X,287700,15-24 years,16
Albania,1996,female,4.85,Albania1996,,"3,31,48,98,292",1127,G.I. Generation,41200,75+ years,2
Albania,1996,female,3.73,Albania1996,,"3,31,48,98,292",1127,Generation X,267900,25-34 years,10
Albania,1996,male,3.16,Albania1996,,"3,31,48,98,292",1127,Boomers,379600,35-54 years,12
Albania,1996,female,2.49,Albania1996,,"3,31,48,98,292",1127,Boomers,362000,35-54 years,9
Albania,1996,male,1.67,Albania1996,,"3,31,48,98,292",1127,Silent,179900,55-74 years,3
Albania,1996,female,0.55,Albania1996,,"3,31,48,98,292",1127,Silent,183100,55-74 years,1
Albania,1996,male,0.53,Albania1996,,"3,31,48,98,292",1127,Millenials,380400,5-14 years,2
Albania,1996,female,0.28,Albania1996,,"3,31,48,98,292",1127,Millenials,354100,5-14 years,1
Albania,1997,male,15.25,Albania1997,,"2,35,99,03,108",793,Generation X,236000,25-34 years,36
Albania,1997,male,13.5,Albania1997,,"2,35,99,03,108",793,Generation X,244400,15-24 years,33
Albania,1997,male,11.81,Albania1997,,"2,35,99,03,108",793,G.I. Generation,25400,75+ years,3
Albania,1997,male,7.88,Albania1997,,"2,35,99,03,108",793,Boomers,380800,35-54 years,30
Albania,1997,female,7.14,Albania1997,,"2,35,99,03,108",793,Generation X,294000,15-24 years,21
Albania,1997,male,6.66,Albania1997,,"2,35,99,03,108",793,Silent,180300,55-74 years,12
Albania,1997,female,5.84,Albania1997,,"2,35,99,03,108",793,Generation X,273900,25-34 years,16
Albania,1997,female,4.75,Albania1997,,"2,35,99,03,108",793,G.I. Generation,42100,75+ years,2
Albania,1997,female,1.89,Albania1997,,"2,35,99,03,108",793,Boomers,370100,35-54 years,7
Albania,1997,female,1.66,Albania1997,,"2,35,99,03,108",793,Millenials,361800,5-14 years,6
Albania,1997,male,1.05,Albania1997,,"2,35,99,03,108",793,Millenials,381500,5-14 years,4
Albania,1997,female,0,Albania1997,,"2,35,99,03,108",793,Silent,187000,55-74 years,0
Albania,1998,male,11.63,Albania1998,,"2,70,71,23,772",899,G.I. Generation,25800,75+ years,3
Albania,1998,male,10.85,Albania1998,,"2,70,71,23,772",899,Generation X,248800,15-24 years,27
Albania,1998,female,10.83,Albania1998,,"2,70,71,23,772",899,Generation X,295600,15-24 years,32
Albania,1998,male,10.82,Albania1998,,"2,70,71,23,772",899,Generation X,240400,25-34 years,26
Albania,1998,male,7.47,Albania1998,,"2,70,71,23,772",899,Boomers,388200,35-54 years,29
Albania,1998,male,4.9,Albania1998,,"2,70,71,23,772",899,Silent,183800,55-74 years,9
Albania,1998,female,3.63,Albania1998,,"2,70,71,23,772",899,Generation X,275300,25-34 years,10
Albania,1998,female,3.19,Albania1998,,"2,70,71,23,772",899,Silent,188200,55-74 years,6
Albania,1998,female,2.42,Albania1998,,"2,70,71,23,772",899,Boomers,372100,35-54 years,9
Albania,1998,male,0.51,Albania1998,,"2,70,71,23,772",899,Millenials,388400,5-14 years,2
Albania,1998,female,0.27,Albania1998,,"2,70,71,23,772",899,Millenials,363800,5-14 years,1
Albania,1998,female,0,Albania1998,,"2,70,71,23,772",899,G.I. Generation,42300,75+ years,0
Albania,1999,male,11.58,Albania1999,,"3,41,47,60,915",1127,G.I. Generation,25900,75+ years,3
Albania,1999,male,9.58,Albania1999,,"3,41,47,60,915",1127,Generation X,250600,15-24 years,24
Albania,1999,female,9.43,Albania1999,,"3,41,47,60,915",1127,G.I. Generation,42400,75+ years,4
Albania,1999,male,7.93,Albania1999,,"3,41,47,60,915",1127,Boomers,391100,35-54 years,31
Albania,1999,male,7.84,Albania1999,,"3,41,47,60,915",1127,Generation X,242300,25-34 years,19
Albania,1999,male,7.56,Albania1999,,"3,41,47,60,915",1127,Silent,185200,55-74 years,14
Albania,1999,female,6.4,Albania1999,,"3,41,47,60,915",1127,Generation X,296800,15-24 years,19
Albania,1999,female,4.7,Albania1999,,"3,41,47,60,915",1127,Generation X,276500,25-34 years,13
Albania,1999,female,3.18,Albania1999,,"3,41,47,60,915",1127,Silent,188800,55-74 years,6
Albania,1999,female,1.34,Albania1999,,"3,41,47,60,915",1127,Boomers,373600,35-54 years,5
Albania,1999,female,0.27,Albania1999,,"3,41,47,60,915",1127,Millenials,365200,5-14 years,1
Albania,1999,male,0,Albania1999,,"3,41,47,60,915",1127,Millenials,391300,5-14 years,0
Albania,2000,male,7.33,Albania2000,0.656,"3,63,20,43,908",1299,Generation X,232000,25-34 years,17
Albania,2000,male,5.64,Albania2000,0.656,"3,63,20,43,908",1299,Silent,177400,55-74 years,10
Albania,2000,female,5.29,Albania2000,0.656,"3,63,20,43,908",1299,G.I. Generation,37800,75+ years,2
Albania,2000,male,4.02,Albania2000,0.656,"3,63,20,43,908",1299,G.I. Generation,24900,75+ years,1
Albania,2000,female,2.27,Albania2000,0.656,"3,63,20,43,908",1299,Generation X,263900,15-24 years,6
Albania,2000,male,2.08,Albania2000,0.656,"3,63,20,43,908",1299,Generation X,240000,15-24 years,5
Albania,2000,female,1.51,Albania2000,0.656,"3,63,20,43,908",1299,Boomers,332200,35-54 years,5
Albania,2000,female,1.22,Albania2000,0.656,"3,63,20,43,908",1299,Generation X,245800,25-34 years,3
Albania,2000,male,1.07,Albania2000,0.656,"3,63,20,43,908",1299,Boomers,374700,35-54 years,4
Albania,2000,male,0.27,Albania2000,0.656,"3,63,20,43,908",1299,Millenials,374900,5-14 years,1
Albania,2000,female,0,Albania2000,0.656,"3,63,20,43,908",1299,Millenials,324700,5-14 years,0
Albania,2000,female,0,Albania2000,0.656,"3,63,20,43,908",1299,Silent,168000,55-74 years,0
Albania,2001,male,10.65,Albania2001,,"4,06,07,58,804",1451,Generation X,206484,25-34 years,22
Albania,2001,male,8.98,Albania2001,,"4,06,07,58,804",1451,Boomers,378826,35-54 years,34
Albania,2001,male,5.59,Albania2001,,"4,06,07,58,804",1451,Silent,196670,55-74 years,11
Albania,2001,female,4.23,Albania2001,,"4,06,07,58,804",1451,Silent,47254,75+ years,2
Albania,2001,male,3.91,Albania2001,,"4,06,07,58,804",1451,Millenials,256039,15-24 years,10
Albania,2001,female,3.32,Albania2001,,"4,06,07,58,804",1451,Millenials,271359,15-24 years,9
Albania,2001,female,3.24,Albania2001,,"4,06,07,58,804",1451,Boomers,370191,35-54 years,12
Albania,2001,male,3.22,Albania2001,,"4,06,07,58,804",1451,Silent,31044,75+ years,1
Albania,2001,female,3.16,Albania2001,,"4,06,07,58,804",1451,Silent,189799,55-74 years,6
Albania,2001,male,1.87,Albania2001,,"4,06,07,58,804",1451,Millenials,321556,5-14 years,6
Albania,2001,female,1.8,Albania2001,,"4,06,07,58,804",1451,Generation X,222771,25-34 years,4
Albania,2001,female,0.65,Albania2001,,"4,06,07,58,804",1451,Millenials,307356,5-14 years,2
Albania,2002,male,12.9,Albania2002,,"4,43,50,78,648",1573,Silent,31007,75+ years,4
Albania,2002,male,11.15,Albania2002,,"4,43,50,78,648",1573,Generation X,206286,25-34 years,23
Albania,2002,male,9.16,Albania2002,,"4,43,50,78,648",1573,Boomers,382139,35-54 years,35
Albania,2002,male,6.56,Albania2002,,"4,43,50,78,648",1573,Silent,198130,55-74 years,13
Albania,2002,male,5.7,Albania2002,,"4,43,50,78,648",1573,Millenials,263067,15-24 years,15
Albania,2002,female,5.07,Albania2002,,"4,43,50,78,648",1573,Millenials,275970,15-24 years,14
Albania,2002,female,4,Albania2002,,"4,43,50,78,648",1573,Boomers,375113,35-54 years,15
Albania,2002,female,3.13,Albania2002,,"4,43,50,78,648",1573,Generation X,223685,25-34 years,7
Albania,2002,female,2.11,Albania2002,,"4,43,50,78,648",1573,Silent,47407,75+ years,1
Albania,2002,female,2.09,Albania2002,,"4,43,50,78,648",1573,Silent,191712,55-74 years,4
Albania,2002,female,0.33,Albania2002,,"4,43,50,78,648",1573,Millenials,304850,5-14 years,1
Albania,2002,male,0.31,Albania2002,,"4,43,50,78,648",1573,Millenials,319473,5-14 years,1
Albania,2003,female,12.22,Albania2003,,"5,74,69,45,913",2021,Silent,49088,75+ years,6
Albania,2003,male,7.94,Albania2003,,"5,74,69,45,913",2021,Silent,201520,55-74 years,16
Albania,2003,male,7.25,Albania2003,,"5,74,69,45,913",2021,Boomers,386196,35-54 years,28
Albania,2003,male,5.49,Albania2003,,"5,74,69,45,913",2021,Millenials,273235,15-24 years,15
Albania,2003,female,4.93,Albania2003,,"5,74,69,45,913",2021,Millenials,283709,15-24 years,14
Albania,2003,female,4.6,Albania2003,,"5,74,69,45,913",2021,Silent,195699,55-74 years,9
Albania,2003,male,4.38,Albania2003,,"5,74,69,45,913",2021,Generation X,205433,25-34 years,9
Albania,2003,female,4.04,Albania2003,,"5,74,69,45,913",2021,Generation X,222941,25-34 years,9
Albania,2003,female,3.41,Albania2003,,"5,74,69,45,913",2021,Boomers,381760,35-54 years,13
Albania,2003,male,3.06,Albania2003,,"5,74,69,45,913",2021,Silent,32667,75+ years,1
Albania,2003,male,1.28,Albania2003,,"5,74,69,45,913",2021,Millenials,313204,5-14 years,4
Albania,2003,female,0,Albania2003,,"5,74,69,45,913",2021,Millenials,298477,5-14 years,0
Albania,2004,male,11.26,Albania2004,,"7,31,48,65,176",2544,Silent,35526,75+ years,4
Albania,2004,male,9.95,Albania2004,,"7,31,48,65,176",2544,Boomers,391767,35-54 years,39
Albania,2004,male,7.85,Albania2004,,"7,31,48,65,176",2544,Generation X,203938,25-34 years,16
Albania,2004,female,6.84,Albania2004,,"7,31,48,65,176",2544,Millenials,292268,15-24 years,20
Albania,2004,male,6.63,Albania2004,,"7,31,48,65,176",2544,Millenials,286768,15-24 years,19
Albania,2004,female,5.89,Albania2004,,"7,31,48,65,176",2544,Silent,50970,75+ years,3
Albania,2004,female,4.95,Albania2004,,"7,31,48,65,176",2544,Generation X,222389,25-34 years,11
Albania,2004,male,4.83,Albania2004,,"7,31,48,65,176",2544,Silent,207202,55-74 years,10
Albania,2004,female,4.34,Albania2004,,"7,31,48,65,176",2544,Boomers,391436,35-54 years,17
Albania,2004,female,1.47,Albania2004,,"7,31,48,65,176",2544,Silent,203841,55-74 years,3
Albania,2004,female,1.05,Albania2004,,"7,31,48,65,176",2544,Millenials,286705,5-14 years,3
Albania,2004,male,0.33,Albania2004,,"7,31,48,65,176",2544,Millenials,302181,5-14 years,1
Albania,2005,female,0,Albania2005,0.695,"8,15,85,48,717",2931,Millenials,281922,15-24 years,0
Albania,2005,female,0,Albania2005,0.695,"8,15,85,48,717",2931,Generation X,190745,25-34 years,0
Albania,2005,female,0,Albania2005,0.695,"8,15,85,48,717",2931,Boomers,386513,35-54 years,0
Albania,2005,female,0,Albania2005,0.695,"8,15,85,48,717",2931,Millenials,276559,5-14 years,0
Albania,2005,female,0,Albania2005,0.695,"8,15,85,48,717",2931,Silent,210998,55-74 years,0
Albania,2005,female,0,Albania2005,0.695,"8,15,85,48,717",2931,Silent,53191,75+ years,0
Albania,2005,male,0,Albania2005,0.695,"8,15,85,48,717",2931,Millenials,281675,15-24 years,0
Albania,2005,male,0,Albania2005,0.695,"8,15,85,48,717",2931,Generation X,177519,25-34 years,0
Albania,2005,male,0,Albania2005,0.695,"8,15,85,48,717",2931,Boomers,380242,35-54 years,0
Albania,2005,male,0,Albania2005,0.695,"8,15,85,48,717",2931,Millenials,291367,5-14 years,0
Albania,2005,male,0,Albania2005,0.695,"8,15,85,48,717",2931,Silent,214118,55-74 years,0
Albania,2005,male,0,Albania2005,0.695,"8,15,85,48,717",2931,Silent,38471,75+ years,0
Albania,2006,female,0,Albania2006,,"8,99,26,42,349",3235,Millenials,283138,15-24 years,0
Albania,2006,female,0,Albania2006,,"8,99,26,42,349",3235,Generation X,186391,25-34 years,0
Albania,2006,female,0,Albania2006,,"8,99,26,42,349",3235,Boomers,388746,35-54 years,0
Albania,2006,female,0,Albania2006,,"8,99,26,42,349",3235,Millenials,267316,5-14 years,0
Albania,2006,female,0,Albania2006,,"8,99,26,42,349",3235,Silent,215907,55-74 years,0
Albania,2006,female,0,Albania2006,,"8,99,26,42,349",3235,Silent,56011,75+ years,0
Albania,2006,male,0,Albania2006,,"8,99,26,42,349",3235,Millenials,286679,15-24 years,0
Albania,2006,male,0,Albania2006,,"8,99,26,42,349",3235,Generation X,174092,25-34 years,0
Albania,2006,male,0,Albania2006,,"8,99,26,42,349",3235,Boomers,379076,35-54 years,0
Albania,2006,male,0,Albania2006,,"8,99,26,42,349",3235,Millenials,282678,5-14 years,0
Albania,2006,male,0,Albania2006,,"8,99,26,42,349",3235,Silent,219360,55-74 years,0
Albania,2006,male,0,Albania2006,,"8,99,26,42,349",3235,Silent,40782,75+ years,0
Albania,2007,male,18.88,Albania2007,,"10,70,10,11,897",3863,Silent,42366,75+ years,8
Albania,2007,male,7.66,Albania2007,,"10,70,10,11,897",3863,Boomers,378626,35-54 years,29
Albania,2007,male,6.25,Albania2007,,"10,70,10,11,897",3863,Silent,224160,55-74 years,14
Albania,2007,female,5.23,Albania2007,,"10,70,10,11,897",3863,Silent,57404,75+ years,3
Albania,2007,male,5.22,Albania2007,,"10,70,10,11,897",3863,Generation X,172494,25-34 years,9
Albania,2007,female,4.63,Albania2007,,"10,70,10,11,897",3863,Millenials,281080,15-24 years,13
Albania,2007,male,4.51,Albania2007,,"10,70,10,11,897",3863,Millenials,288349,15-24 years,13
Albania,2007,female,4.36,Albania2007,,"10,70,10,11,897",3863,Generation X,183629,25-34 years,8
Albania,2007,female,4.07,Albania2007,,"10,70,10,11,897",3863,Silent,221120,55-74 years,9
Albania,2007,female,3.57,Albania2007,,"10,70,10,11,897",3863,Boomers,391811,35-54 years,14
Albania,2007,male,1.47,Albania2007,,"10,70,10,11,897",3863,Generation Z,272497,5-14 years,4
Albania,2007,female,0,Albania2007,,"10,70,10,11,897",3863,Generation Z,256808,5-14 years,0
Albania,2008,male,12.15,Albania2008,,"12,88,13,52,688",4672,Generation X,172855,25-34 years,21
Albania,2008,male,9.81,Albania2008,,"12,88,13,52,688",4672,Boomers,377119,35-54 years,37
Albania,2008,male,9.18,Albania2008,,"12,88,13,52,688",4672,Silent,228672,55-74 years,21
Albania,2008,female,8.42,Albania2008,,"12,88,13,52,688",4672,Silent,59369,75+ years,5
Albania,2008,female,7.24,Albania2008,,"12,88,13,52,688",4672,Millenials,276073,15-24 years,20
Albania,2008,female,4.93,Albania2008,,"12,88,13,52,688",4672,Generation X,182663,25-34 years,9
Albania,2008,female,4.82,Albania2008,,"12,88,13,52,688",4672,Boomers,393832,35-54 years,19
Albania,2008,male,4.49,Albania2008,,"12,88,13,52,688",4672,Silent,44574,75+ years,2
Albania,2008,male,3.84,Albania2008,,"12,88,13,52,688",4672,Millenials,286702,15-24 years,11
Albania,2008,female,3.09,Albania2008,,"12,88,13,52,688",4672,Silent,226448,55-74 years,7
Albania,2008,male,2.67,Albania2008,,"12,88,13,52,688",4672,Generation Z,262464,5-14 years,7
Albania,2008,female,0.41,Albania2008,,"12,88,13,52,688",4672,Generation Z,246288,5-14 years,1
Albania,2009,female,0,Albania2009,,"12,04,42,12,904",4387,Millenials,270003,15-24 years,0
Albania,2009,female,0,Albania2009,,"12,04,42,12,904",4387,Generation X,182712,25-34 years,0
Albania,2009,female,0,Albania2009,,"12,04,42,12,904",4387,Boomers,394286,35-54 years,0
Albania,2009,female,0,Albania2009,,"12,04,42,12,904",4387,Generation Z,236174,5-14 years,0
Albania,2009,female,0,Albania2009,,"12,04,42,12,904",4387,Silent,233302,55-74 years,0
Albania,2009,female,0,Albania2009,,"12,04,42,12,904",4387,Silent,61582,75+ years,0
Albania,2009,male,0,Albania2009,,"12,04,42,12,904",4387,Millenials,283448,15-24 years,0
Albania,2009,male,0,Albania2009,,"12,04,42,12,904",4387,Generation X,174955,25-34 years,0
Albania,2009,male,0,Albania2009,,"12,04,42,12,904",4387,Boomers,374365,35-54 years,0
Albania,2009,male,0,Albania2009,,"12,04,42,12,904",4387,Generation Z,253007,5-14 years,0
Albania,2009,male,0,Albania2009,,"12,04,42,12,904",4387,Silent,234570,55-74 years,0
Albania,2009,male,0,Albania2009,,"12,04,42,12,904",4387,Silent,47331,75+ years,0
Albania,2010,male,8.27,Albania2010,0.722,"11,92,69,53,259",4359,Silent,241852,55-74 years,20
Albania,2010,male,5.38,Albania2010,0.722,"11,92,69,53,259",4359,Generation X,371611,35-54 years,20
Albania,2010,male,5.01,Albania2010,0.722,"11,92,69,53,259",4359,Generation X,179720,25-34 years,9
Albania,2010,male,3.94,Albania2010,0.722,"11,92,69,53,259",4359,Silent,50767,75+ years,2
Albania,2010,male,3.58,Albania2010,0.722,"11,92,69,53,259",4359,Millenials,279508,15-24 years,10
Albania,2010,female,3.27,Albania2010,0.722,"11,92,69,53,259",4359,Generation X,183579,25-34 years,6
Albania,2010,female,3.1,Albania2010,0.722,"11,92,69,53,259",4359,Silent,64415,75+ years,2
Albania,2010,female,3.04,Albania2010,0.722,"11,92,69,53,259",4359,Generation X,394593,35-54 years,12
Albania,2010,female,2.9,Albania2010,0.722,"11,92,69,53,259",4359,Silent,241491,55-74 years,7
Albania,2010,female,2.28,Albania2010,0.722,"11,92,69,53,259",4359,Millenials,263581,15-24 years,6
Albania,2010,female,0.89,Albania2010,0.722,"11,92,69,53,259",4359,Generation Z,223969,5-14 years,2
Albania,2010,male,0,Albania2010,0.722,"11,92,69,53,259",4359,Generation Z,240939,5-14 years,0
Antigua and Barbuda,1985,female,0,Antigua and Barbuda1985,,"24,09,23,926",3850,Generation X,7709,15-24 years,0
Antigua and Barbuda,1985,female,0,Antigua and Barbuda1985,,"24,09,23,926",3850,Boomers,6344,25-34 years,0
Antigua and Barbuda,1985,female,0,Antigua and Barbuda1985,,"24,09,23,926",3850,Silent,6173,35-54 years,0
Antigua and Barbuda,1985,female,0,Antigua and Barbuda1985,,"24,09,23,926",3850,Generation X,7339,5-14 years,0
Antigua and Barbuda,1985,female,0,Antigua and Barbuda1985,,"24,09,23,926",3850,G.I. Generation,3778,55-74 years,0
Antigua and Barbuda,1985,female,0,Antigua and Barbuda1985,,"24,09,23,926",3850,G.I. Generation,949,75+ years,0
Antigua and Barbuda,1985,male,0,Antigua and Barbuda1985,,"24,09,23,926",3850,Generation X,7667,15-24 years,0
Antigua and Barbuda,1985,male,0,Antigua and Barbuda1985,,"24,09,23,926",3850,Boomers,6194,25-34 years,0
Antigua and Barbuda,1985,male,0,Antigua and Barbuda1985,,"24,09,23,926",3850,Silent,5970,35-54 years,0
Antigua and Barbuda,1985,male,0,Antigua and Barbuda1985,,"24,09,23,926",3850,Generation X,7304,5-14 years,0
Antigua and Barbuda,1985,male,0,Antigua and Barbuda1985,,"24,09,23,926",3850,G.I. Generation,2723,55-74 years,0
Antigua and Barbuda,1985,male,0,Antigua and Barbuda1985,,"24,09,23,926",3850,G.I. Generation,424,75+ years,0
Antigua and Barbuda,1986,female,0,Antigua and Barbuda1986,,"29,04,40,148",4740,Generation X,7668,15-24 years,0
